timestamp,elapsed_s,main_rss_mb,main_vms_mb,children_count,children_rss_mb,total_rss_mb,total_vms_mb,note
2026-03-01T13:32:34,0.0,2.16,0.5,1,1.89,4.05,0.86,new_peak
2026-03-01T13:32:37,3.0,4.53,0.88,4,167.66,172.19,613.84,new_peak
2026-03-01T13:32:40,6.0,4.53,0.88,1,227.32,231.85,689.24,new_peak
2026-03-01T13:32:43,9.0,4.53,0.88,1,314.71,319.24,773.39,new_peak
2026-03-01T13:32:46,12.0,4.53,0.88,1,385.18,389.71,842.4,new_peak
2026-03-01T13:32:49,15.1,4.53,0.88,1,503.13,507.66,960.99,new_peak
2026-03-01T13:32:52,18.1,4.53,0.88,1,538.58,543.11,996.63,new_peak
2026-03-01T13:32:55,21.1,4.53,0.88,1,541.84,546.37,999.95,new_peak
2026-03-01T13:32:58,24.1,4.53,0.88,1,541.86,546.39,999.95,new_peak
2026-03-01T13:33:01,27.1,4.53,0.88,1,541.86,546.39,999.95,
2026-03-01T13:33:04,30.1,4.5,0.82,1,541.86,546.36,999.89,
2026-03-01T13:33:07,33.1,4.5,0.82,1,541.87,546.37,999.89,
2026-03-01T13:33:10,36.1,4.5,0.82,1,541.94,546.44,999.89,new_peak
2026-03-01T13:33:13,39.1,4.5,0.82,1,542.09,546.59,1000.07,new_peak
2026-03-01T13:33:16,42.1,4.5,0.82,1,542.1,546.6,1000.07,new_peak
2026-03-01T13:33:19,45.1,4.5,0.82,1,542.12,546.62,1000.07,new_peak
2026-03-01T13:33:22,48.2,4.5,0.82,1,542.12,546.62,1000.07,
2026-03-01T13:33:25,51.2,4.5,0.82,1,542.13,546.63,1000.07,new_peak
2026-03-01T13:33:28,54.2,4.5,0.82,1,542.27,546.77,1000.2,new_peak
2026-03-01T13:33:31,57.2,4.5,0.82,1,542.27,546.77,1000.2,
2026-03-01T13:33:34,60.2,4.5,0.82,1,542.2,546.7,1000.09,
2026-03-01T13:33:37,63.2,4.5,0.82,1,542.21,546.71,1000.09,
2026-03-01T13:33:40,66.2,4.5,0.82,1,542.22,546.72,1000.09,
2026-03-01T13:33:43,69.2,4.5,0.82,1,542.22,546.72,1000.09,
2026-03-01T13:33:46,72.2,4.5,0.82,1,542.23,546.73,1000.09,
2026-03-01T13:33:49,75.2,4.5,0.82,1,542.23,546.73,1000.09,
2026-03-01T13:33:52,78.3,4.5,0.82,1,542.23,546.73,1000.09,
2026-03-01T13:33:55,81.3,4.5,0.82,1,542.25,546.75,1000.09,
2026-03-01T13:33:58,84.3,4.5,0.82,1,542.25,546.75,1000.09,
2026-03-01T13:34:01,87.3,4.5,0.82,1,542.25,546.75,1000.09,
2026-03-01T13:34:04,90.3,4.5,0.82,1,542.25,546.75,1000.09,
2026-03-01T13:34:07,93.3,4.5,0.82,1,542.25,546.75,1000.09,
2026-03-01T13:34:10,96.3,4.5,0.82,1,546.9,551.4,1004.48,new_peak
2026-03-01T13:34:13,99.3,4.5,0.82,1,546.93,551.43,1004.48,new_peak
2026-03-01T13:34:16,102.3,4.5,0.82,1,546.94,551.44,1004.48,new_peak
2026-03-01T13:34:19,105.3,4.46,0.82,1,539.04,543.5,1004.48,
