timestamp,elapsed_s,main_rss_mb,main_vms_mb,children_count,children_rss_mb,total_rss_mb,total_vms_mb,note
2026-03-01T13:30:58,0.0,2.16,0.51,1,1.98,4.14,0.89,new_peak
2026-03-01T13:31:01,3.0,4.53,0.89,1,140.62,145.15,603.75,new_peak
2026-03-01T13:31:04,6.0,4.53,0.89,1,218.02,222.55,679.71,new_peak
2026-03-01T13:31:07,9.0,4.53,0.89,1,297.04,301.57,756.0,new_peak
2026-03-01T13:31:10,12.1,4.53,0.89,1,330.5,335.03,788.73,new_peak
2026-03-01T13:31:13,15.1,4.53,0.89,1,386.14,390.67,844.2,new_peak
2026-03-01T13:31:16,18.1,4.53,0.89,1,456.5,461.03,914.01,new_peak
2026-03-01T13:31:19,21.1,4.53,0.89,1,521.11,525.64,978.83,new_peak
