timestamp,elapsed_s,main_rss_mb,main_vms_mb,children_count,children_rss_mb,total_rss_mb,total_vms_mb,note
2026-03-01T13:06:52,0.0,2.2,0.41,1,1.89,4.09,0.77,new_peak
2026-03-01T13:06:55,3.0,4.52,0.87,1,117.61,122.13,584.4,new_peak
2026-03-01T13:06:58,6.0,4.52,0.87,1,189.73,194.25,651.81,new_peak
2026-03-01T13:07:01,9.0,4.52,0.87,1,299.23,303.75,757.72,new_peak
2026-03-01T13:07:04,12.0,4.52,0.87,1,361.61,366.13,819.48,new_peak
2026-03-01T13:07:07,15.0,4.52,0.87,1,389.0,393.52,846.73,new_peak
2026-03-01T13:07:10,18.1,4.52,0.87,1,389.32,393.84,846.73,new_peak
2026-03-01T13:07:13,21.1,4.52,0.87,1,389.81,394.33,847.73,new_peak
2026-03-01T13:07:16,24.1,4.52,0.87,1,392.2,396.72,848.41,new_peak
2026-03-01T13:07:19,27.1,4.52,0.87,1,411.48,416.0,868.3,new_peak
2026-03-01T13:07:22,30.1,4.5,0.82,1,437.36,441.86,894.56,new_peak
2026-03-01T13:07:25,33.1,4.5,0.82,1,456.87,461.37,913.75,new_peak
2026-03-01T13:07:28,36.1,4.5,0.82,1,485.81,490.31,942.73,new_peak
2026-03-01T13:07:31,39.1,4.5,0.82,1,510.05,514.55,966.95,new_peak
2026-03-01T13:07:35,42.1,4.5,0.82,1,526.44,530.94,983.97,new_peak
2026-03-01T13:07:38,45.1,4.5,0.82,1,534.22,538.72,991.73,new_peak
2026-03-01T13:07:41,48.1,4.5,0.82,1,547.3,551.8,1005.17,new_peak
2026-03-01T13:07:44,51.2,4.5,0.82,9,996.8199999999997,1001.32,1604.04,new_peak
2026-03-01T13:07:47,54.2,4.5,0.82,25,1619.4400000000005,1623.94,2117.95,new_peak
2026-03-01T13:07:50,57.2,4.5,0.82,25,1836.7500000000002,1841.25,2412.12,new_peak
2026-03-01T13:07:53,60.2,4.5,0.82,25,2079.19,2083.69,2586.74,new_peak
2026-03-01T13:07:56,63.2,4.5,0.82,25,2190.7800000000007,2195.28,4094.47,new_peak
2026-03-01T13:07:59,66.2,4.5,0.82,25,2219.4700000000003,2223.97,4146.83,new_peak
2026-03-01T13:08:02,69.2,4.5,0.82,25,2232.83,2237.33,4153.85,new_peak
2026-03-01T13:08:05,72.2,4.5,0.82,31,2498.32,2502.82,4478.11,new_peak
2026-03-01T13:08:08,75.2,3.9,0.82,31,3034.6700000000005,3038.57,5185.63,new_peak
2026-03-01T13:08:11,78.2,3.9,0.82,31,3034.6700000000005,3038.57,5185.63,
2026-03-01T13:08:14,81.3,3.9,0.82,31,2958.99,2962.89,5044.23,
2026-03-01T13:08:17,84.3,3.9,0.82,31,2569.2299999999996,2573.13,4552.66,
